,track_genre_val
0,['Hip-Hop']
1,['Hip-Hop']
2,['Hip-Hop']
3,['Hip-Hop']
4,['Hip-Hop']
5,['Hip-Hop']
6,['Hip-Hop']
7,['Hip-Hop']
8,['Hip-Hop']
9,['Hip-Hop']
10,['Hip-Hop']
11,['Hip-Hop']
12,['Hip-Hop']
13,['Hip-Hop']
14,['Hip-Hop']
15,['Hip-Hop']
16,['Hip-Hop']
17,['Hip-Hop']
18,['Hip-Hop']
19,['80s']
20,['80s']
21,['80s']
22,['80s']
23,['80s']
24,['80s']
25,['80s']
26,['80s']
27,['indie']
28,['indie']
29,['indie']
30,['indie']
31,['indie']
32,['indie']
33,['indie']
34,['indie']
35,['indie']
36,['indie']
37,['indie']
38,['indie']
39,['indie']
40,['indie']
41,['indie']
42,['indie']
43,['indie']
44,['indie']
45,['indie']
46,['indie']
47,['indie']
48,['indie']
49,['indie']
50,['indie']
51,['indie']
52,['indie']
53,['indie']
54,['indie']
55,['indie']
56,['indie']
57,['indie']
58,['indie']
59,['indie']
62,['rnb']
63,['rnb']
64,['rnb']
65,['pop']
66,['pop']
67,['pop']
68,['pop']
69,['pop']
70,['pop']
71,['pop']
72,['pop']
73,['pop']
74,['pop']
75,['pop']
76,['pop']
77,['pop']
78,['pop']
79,['pop']
80,['rock']
81,['rock']
82,['rock']
83,['rock']
84,['rock']
85,['rock']
86,['rock']
87,['rock']
88,['rock']
89,['rock']
90,['rock']
91,['rock']
92,['rock']
93,['rock']
94,['rock']
95,['rock']
96,['rock']
97,['rock']
98,['rock']
99,['rock']
100,['rock']
101,['rock']
102,['rock']
103,['rock']
104,['rock']
105,['rock']
106,['rock']
107,['rock']
108,['rock']
109,['rock']
110,['rock']
111,['rock']
112,['rock']
113,['rock']
114,['Coldplay']
115,['Coldplay']
116,['Coldplay']
117,['Coldplay']
118,['Coldplay']
119,['Coldplay']
120,['Coldplay']
121,['Coldplay']
122,['Coldplay']
123,['Coldplay']
124,['Coldplay']
